id,alarmSettingId,alarmSettingName,deviceId,deviceName,organizationId,organizationName,variableName,triggerName,triggerType,slaveName,currentValue,triggeringCondition,alarmTime,alarmState,processState
a499d9f0-e420-6d89-86cb-16dde4849599,49988fd7-0f1c-6d07-e955-ba219e878f36,Overvoltage Phase A,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageA,Overvoltage Phase A,voltage,Main Meter,248.2,VoltageA GT 245,2026-08-04T22:00:00.000Z,RESOLVED,PROCESSED
d0a00d91-cb8a-48f5-a9c8-464e11b1145b,c68c88a0-20b2-8df3-5110-6d12855f5105,Low Power Factor,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerFactor,Low Power Factor,custom,Main Meter,0.74,PowerFactor LT 0.80,2026-08-06T06:00:00.000Z,ACTIVE,UNPROCESSED
149f34b3-29a5-d671-961c-e934c5279c1b,49988fd7-0f1c-6d07-e955-ba219e878f36,Overvoltage Phase A,1f760f66-0ee2-5f4c-2f8f-7c6c3da709c3,HVAC Meter North,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageA,Overvoltage Phase A,voltage,Main Meter,246.8,VoltageA GT 245,2026-08-06T08:30:00.000Z,ACTIVE,UNPROCESSED
70bc9f25-9c93-9a55-7d9b-49994a8734ca,b9fdc93a-b031-5ac3-da70-2eee5606b6ce,Current Imbalance High,5740cbe5-bac2-1d22-7f9c-e298a8ffc9b8,Press Line Meter A,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,CurrentImbalance,Current Imbalance High,current,Main Meter,7.2,CurrentImbalance GT 6,2026-08-06T08:00:00.000Z,ACTIVE,UNPROCESSED
90447f3a-9041-bc13-e331-b71997283f22,09343c31-e4b5-1355-2121-45339353fc77,Overcurrent Phase A,440e66a4-0438-0f8d-e300-f686285fe89e,Compressor Bank Meter,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,CurrentA,Overcurrent Phase A,current,Main Meter,42.5,CurrentA GT 40,2026-08-05T06:00:00.000Z,RESOLVED,PROCESSED
a8e9c702-aac1-0373-8265-aeed71b5ae41,b9fdc93a-b031-5ac3-da70-2eee5606b6ce,Current Imbalance High,91311ab0-8211-0ab2-8073-871b4d42ee7e,Press Line Meter B,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,CurrentImbalance,Current Imbalance High,current,Main Meter,6.8,CurrentImbalance GT 6,2026-08-04T10:00:00.000Z,RESOLVED,PROCESSED
b7ee75e1-54f4-8411-5e30-7e823c0152d0,09343c31-e4b5-1355-2121-45339353fc77,Overcurrent Phase A,e1d0b3f2-d71e-18f3-fd40-218b43949ab9,Cold Storage Meter,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,CurrentA,Overcurrent Phase A,current,Main Meter,41.1,CurrentA GT 40,2026-08-06T09:12:00.000Z,ACTIVE,UNPROCESSED
27a7e8b3-5572-89cd-84a1-efec1d4b0293,c68c88a0-20b2-8df3-5110-6d12855f5105,Low Power Factor,50721269-e628-a519-53b1-711cf83e4517,Energy Meter 003,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,PowerFactor,Low Power Factor,custom,Main Meter,0.76,PowerFactor LT 0.80,2026-08-03T10:00:00.000Z,RESOLVED,PROCESSED
a1fdcaaa-7345-c316-7d50-0033825bc22e,09343c31-e4b5-1355-2121-45339353fc77,Overcurrent Phase A,7bb68f35-07b1-9833-0a95-312b35acaec6,Paint Shop Meter,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,CurrentA,Overcurrent Phase A,current,Main Meter,43,CurrentA GT 40,2026-08-06T00:00:00.000Z,ACTIVE,UNPROCESSED
d6ca02b9-9dc8-4c54-209e-7751a4e963cd,49988fd7-0f1c-6d07-e955-ba219e878f36,Overvoltage Phase A,e2d4bff1-5241-8f08-bb25-702cef45696c,Energy Meter 005,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,VoltageA,Overvoltage Phase A,voltage,Main Meter,247,VoltageA GT 245,2026-08-02T10:00:00.000Z,RESOLVED,PROCESSED
