factType,organizationId,organizationName,deviceId,deviceName,gatewayId,gatewayName,variableName,displayName,unit,value,timestamp,alarmState,status,text
org_summary,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,,,,,,,,,2026-08-06T10:00:00.000Z,,ACTIVE,"Greenfield Energy Co has 6 devices (4 ONLINE, 2 OFFLINE) and 3 gateways."
org_summary,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,,,,,,,,,2026-08-06T10:00:00.000Z,,ACTIVE,"Riverdale Manufacturing has 6 devices (5 ONLINE, 1 OFFLINE) and 3 gateways."
device_status,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,8cafccc9-c362-07b8-555c-0d21b47cf09a,Building A Gateway,,,,,2026-08-06T09:57:00.000Z,,ONLINE,"Device Energy Meter 001 (Greenfield Energy Co) is ONLINE, switch ON, on gateway Building A Gateway. Last data at 2026-08-06T09:57:00.000Z."
device_status,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,8cafccc9-c362-07b8-555c-0d21b47cf09a,Building A Gateway,,,,,2026-08-06T09:54:00.000Z,,ONLINE,"Device Energy Meter 002 (Greenfield Energy Co) is ONLINE, switch ON, on gateway Building A Gateway. Last data at 2026-08-06T09:54:00.000Z."
device_status,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,50721269-e628-a519-53b1-711cf83e4517,Energy Meter 003,2c1ca84f-a168-c694-ad96-9d6b1660aaf6,Building B Gateway,,,,,2026-08-06T09:51:00.000Z,,ONLINE,"Device Energy Meter 003 (Greenfield Energy Co) is ONLINE, switch OFF, on gateway Building B Gateway. Last data at 2026-08-06T09:51:00.000Z."
device_status,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,0d2db7e0-e983-f028-eb93-08da6e8c362c,Energy Meter 004,2c1ca84f-a168-c694-ad96-9d6b1660aaf6,Building B Gateway,,,,,2026-08-05T08:00:00.000Z,,OFFLINE,"Device Energy Meter 004 (Greenfield Energy Co) is OFFLINE, switch OFF, on gateway Building B Gateway. Last data at 2026-08-05T08:00:00.000Z."
device_status,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,e2d4bff1-5241-8f08-bb25-702cef45696c,Energy Meter 005,a0880e2f-1cb1-3faf-e0a5-891dd53c965b,Parking Lot Gateway,,,,,2026-08-05T14:00:00.000Z,,OFFLINE,"Device Energy Meter 005 (Greenfield Energy Co) is OFFLINE, switch OFF, on gateway Parking Lot Gateway. Last data at 2026-08-05T14:00:00.000Z."
device_status,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,1f760f66-0ee2-5f4c-2f8f-7c6c3da709c3,HVAC Meter North,8cafccc9-c362-07b8-555c-0d21b47cf09a,Building A Gateway,,,,,2026-08-06T09:55:12.000Z,,ONLINE,"Device HVAC Meter North (Greenfield Energy Co) is ONLINE, switch ON, on gateway Building A Gateway. Last data at 2026-08-06T09:55:12.000Z."
device_status,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,5740cbe5-bac2-1d22-7f9c-e298a8ffc9b8,Press Line Meter A,cf509e1d-bc37-459d-d5cb-3bec109e626b,Line 1 Gateway,,,,,2026-08-06T09:58:48.000Z,,ONLINE,"Device Press Line Meter A (Riverdale Manufacturing) is ONLINE, switch ON, on gateway Line 1 Gateway. Last data at 2026-08-06T09:58:48.000Z."
device_status,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,91311ab0-8211-0ab2-8073-871b4d42ee7e,Press Line Meter B,cf509e1d-bc37-459d-d5cb-3bec109e626b,Line 1 Gateway,,,,,2026-08-06T09:57:36.000Z,,ONLINE,"Device Press Line Meter B (Riverdale Manufacturing) is ONLINE, switch ON, on gateway Line 1 Gateway. Last data at 2026-08-06T09:57:36.000Z."
device_status,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,440e66a4-0438-0f8d-e300-f686285fe89e,Compressor Bank Meter,c9fd1c37-c42b-7e45-7bc4-4a8c4642a94d,Line 2 Gateway,,,,,2026-08-06T09:48:00.000Z,,ONLINE,"Device Compressor Bank Meter (Riverdale Manufacturing) is ONLINE, switch ON, on gateway Line 2 Gateway. Last data at 2026-08-06T09:48:00.000Z."
device_status,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,7bb68f35-07b1-9833-0a95-312b35acaec6,Paint Shop Meter,c9fd1c37-c42b-7e45-7bc4-4a8c4642a94d,Line 2 Gateway,,,,,2026-08-05T22:00:00.000Z,,OFFLINE,"Device Paint Shop Meter (Riverdale Manufacturing) is OFFLINE, switch OFF, on gateway Line 2 Gateway. Last data at 2026-08-05T22:00:00.000Z."
device_status,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,77d1f9a2-f1c3-5104-6e19-f489ad2a9353,Warehouse Main Meter,62168fe4-d2e4-e954-5314-679da6d4053c,Warehouse Gateway,,,,,2026-08-06T09:45:00.000Z,,ONLINE,"Device Warehouse Main Meter (Riverdale Manufacturing) is ONLINE, switch ON, on gateway Warehouse Gateway. Last data at 2026-08-06T09:45:00.000Z."
device_status,31a45db8-ceab-bc59-3d5b-7ca528c2c637,Riverdale Manufacturing,e1d0b3f2-d71e-18f3-fd40-218b43949ab9,Cold Storage Meter,62168fe4-d2e4-e954-5314-679da6d4053c,Warehouse Gateway,,,,,2026-08-06T09:52:48.000Z,,ONLINE,"Device Cold Storage Meter (Riverdale Manufacturing) is ONLINE, switch ON, on gateway Warehouse Gateway. Last data at 2026-08-06T09:52:48.000Z."
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,VoltageA,Voltage Phase A,V,228.78,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Voltage Phase A (VoltageA) = 228.78 V as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,VoltageB,Voltage Phase B,V,227.59,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Voltage Phase B (VoltageB) = 227.59 V as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,VoltageC,Voltage Phase C,V,230.17,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Voltage Phase C (VoltageC) = 230.17 V as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,CurrentA,Current Phase A,A,20.7,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Current Phase A (CurrentA) = 20.7 A as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,ActivePower,Active Power,kW,4.63,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Active Power (ActivePower) = 4.63 kW as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,PowerConsumption,Energy Consumption,kWh,8.7,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Energy Consumption (PowerConsumption) = 8.7 kWh as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,PowerFactor,Power Factor,ratio,0.85,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Power Factor (PowerFactor) = 0.85 ratio as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,Frequency,Frequency,Hz,49.98,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Frequency (Frequency) = 49.98 Hz as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,VoltageImbalance,Voltage Imbalance,%,2.08,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Voltage Imbalance (VoltageImbalance) = 2.08 % as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,a0a447f8-db0a-2d48-0e7b-e8b8f43c52e9,Energy Meter 001,,,CurrentImbalance,Current Imbalance,%,4.22,2026-08-06T09:56:24.000Z,,ONLINE,Energy Meter 001 (Greenfield Energy Co): Current Imbalance (CurrentImbalance) = 4.22 % as of 2026-08-06T09:56:24.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,,,VoltageA,Voltage Phase A,V,226.18,2026-08-06T09:55:48.000Z,,ONLINE,Energy Meter 002 (Greenfield Energy Co): Voltage Phase A (VoltageA) = 226.18 V as of 2026-08-06T09:55:48.000Z [device ONLINE].
current_reading,260d819a-2473-7045-7f10-1a415c5df668,Greenfield Energy Co,ad0e1a81-3899-cf0d-3834-b15139c91c27,Energy Meter 002,,,VoltageB,Voltage Phase B,V,225.24,2026-08-06T09:55:48.000Z,,ONLINE,Energy Meter 002 (Greenfield Energy Co): Voltage Phase B (VoltageB) = 225.24 V as of 2026-08-06T09:55:48.000Z [device ONLINE].
